road_id,segment_id,osm_way_id,from_lat,from_lon,to_lat,to_lon,length_m,road_type,lanes,speed_limit_kph,oneway,province,municipality
N1,N1_000001,,-25.768745,27.430013,-25.773244,27.424477,791.8,national,4,60,0,Gauteng,Ekurhuleni
N1,N1_000002,,-26.051502,27.435757,-26.057129,27.435864,624.7,national,2,80,1,Gauteng,City of Johannesburg
N1,N1_000003,,-26.016028,27.733829,-26.008642,27.739005,1001.1,national,2,120,1,Gauteng,City of Tshwane
N1,N1_000004,,-26.397877,28.548656,-26.401145,28.540511,974.2,national,2,100,1,Gauteng,Ekurhuleni
N1,N1_000005,,-26.256123,27.452141,-26.256935,27.444638,837.7,national,3,60,1,Gauteng,Ekurhuleni
N1,N1_000006,,-25.795924,28.434048,-25.794377,28.438139,485.5,national,2,80,1,Gauteng,City of Johannesburg
N1,N1_000007,,-25.488087,28.43978,-25.490484,28.438848,285.5,national,3,80,1,Gauteng,City of Tshwane
N1,N1_000008,,-26.327641,27.720373,-26.318908,27.723334,1023.6,national,4,80,0,Gauteng,City of Johannesburg
N1,N1_000009,,-25.999062,27.723937,-25.990554,27.7277,1032.6,national,2,100,0,Gauteng,City of Johannesburg
N1,N1_000010,,-25.531657,28.366055,-25.533634,28.357379,987.7,national,4,100,0,Gauteng,Ekurhuleni
N1,N1_000011,,-25.950999,28.46162,-25.948142,28.454477,853.9,national,2,80,1,Gauteng,Ekurhuleni
N1,N1_000012,,-25.840038,28.477387,-25.84205,28.471773,661.9,national,2,120,0,Gauteng,City of Johannesburg
N1,N1_000013,,-25.480566,27.58341,-25.487366,27.58702,854.6,national,4,60,1,Gauteng,City of Tshwane
N1,N1_000014,,-25.825345,27.96166,-25.830317,27.962725,564.4,national,2,60,1,Gauteng,Ekurhuleni
N1,N1_000015,,-26.157772,27.7522,-26.164609,27.742265,1338.7,national,4,100,0,Gauteng,Ekurhuleni
N1,N1_000016,,-25.413584,28.444622,-25.417615,28.447401,543.5,national,4,80,0,Gauteng,City of Tshwane
N1,N1_000017,,-25.608736,28.047255,-25.603163,28.047862,622.2,national,2,100,1,Gauteng,City of Johannesburg
N1,N1_000018,,-26.454572,27.835577,-26.444866,27.841712,1274.6,national,2,60,0,Gauteng,Ekurhuleni
N1,N1_000019,,-25.368966,27.502784,-25.369246,27.494168,956.9,national,4,80,0,Gauteng,Ekurhuleni
N1,N1_000020,,-25.982133,28.059764,-25.986832,28.067213,977.6,national,3,80,0,Gauteng,Ekurhuleni
N1,N1_000021,,-26.194769,28.594179,-26.191771,28.592941,360.0,national,4,120,0,Gauteng,City of Johannesburg
N1,N1_000022,,-26.307893,27.805703,-26.306127,27.800305,630.4,national,2,60,0,Gauteng,Ekurhuleni
N1,N1_000023,,-25.779566,27.67473,-25.771458,27.681923,1203.1,national,2,80,1,Gauteng,Ekurhuleni
N1,N1_000024,,-25.968961,28.047081,-25.964494,28.054729,983.1,national,4,120,0,Gauteng,City of Tshwane
N1,N1_000025,,-25.550254,27.628492,-25.558315,27.627113,907.8,national,3,120,1,Gauteng,Ekurhuleni
N1,N1_000026,,-26.529577,28.184147,-26.526653,28.175359,1028.0,national,4,100,0,Gauteng,City of Johannesburg
N1,N1_000027,,-26.350933,28.043543,-26.358129,28.037213,1063.9,national,3,80,0,Gauteng,City of Tshwane
N1,N1_000028,,-25.549571,28.42716,-25.557613,28.430203,954.4,national,4,60,0,Gauteng,City of Johannesburg
N1,N1_000029,,-26.383796,27.982769,-26.389521,27.98079,672.4,national,2,80,1,Gauteng,City of Johannesburg
N1,N1_000030,,-25.319099,27.718244,-25.313418,27.717344,638.5,national,3,120,0,Gauteng,City of Johannesburg
N1,N1_000031,,-26.21428,28.562451,-26.212696,28.563295,199.2,national,4,100,0,Gauteng,City of Johannesburg
N1,N1_000032,,-25.840569,28.00342,-25.833515,27.996569,1091.6,national,4,60,0,Gauteng,City of Johannesburg
N1,N1_000033,,-25.826454,28.210255,-25.83175,28.202653,1028.4,national,4,80,0,Gauteng,Ekurhuleni
N1,N1_000034,,-26.493422,28.188848,-26.492117,28.185175,432.6,national,3,80,1,Gauteng,City of Johannesburg
N1,N1_000035,,-26.254701,27.557054,-26.251791,27.556198,336.7,national,2,60,1,Gauteng,Ekurhuleni
N1,N1_000036,,-25.302009,28.595316,-25.310544,28.589579,1141.5,national,3,80,1,Gauteng,City of Johannesburg
N1,N1_000037,,-25.456949,27.843433,-25.463794,27.850108,1061.3,national,4,100,0,Gauteng,Ekurhuleni
N1,N1_000038,,-25.537765,27.759255,-25.534497,27.768034,1039.7,national,2,100,0,Gauteng,City of Johannesburg
N1,N1_000039,,-25.634858,27.586537,-25.639223,27.58075,804.6,national,3,80,1,Gauteng,Ekurhuleni
N1,N1_000040,,-25.964909,28.486404,-25.957987,28.47825,1187.3,national,3,100,0,Gauteng,City of Johannesburg
N1,N1_000041,,-26.166376,27.556984,-26.15678,27.550216,1303.4,national,3,120,0,Gauteng,City of Johannesburg
N1,N1_000042,,-26.502183,28.459728,-26.494104,28.46064,902.4,national,3,80,1,Gauteng,City of Johannesburg
N1,N1_000043,,-26.545622,27.837582,-26.53696,27.847026,1422.4,national,2,100,0,Gauteng,Ekurhuleni
N1,N1_000044,,-26.275611,27.523352,-26.270009,27.531035,1055.4,national,3,80,0,Gauteng,City of Johannesburg
N1,N1_000045,,-25.330932,28.372926,-25.323304,28.363422,1352.8,national,4,100,1,Gauteng,Ekurhuleni
N1,N1_000046,,-25.476717,28.372899,-25.481381,28.378646,821.6,national,2,120,0,Gauteng,City of Tshwane
N1,N1_000047,,-26.310836,28.379904,-26.31163,28.376008,441.4,national,2,80,0,Gauteng,Ekurhuleni
N1,N1_000048,,-26.348931,27.793914,-26.341644,27.803252,1314.8,national,3,100,1,Gauteng,Ekurhuleni
N1,N1_000049,,-25.324505,28.043459,-25.31572,28.035766,1296.2,national,3,80,1,Gauteng,City of Johannesburg
N1,N1_000050,,-26.459077,27.921477,-26.454506,27.917751,654.6,national,4,60,1,Gauteng,Ekurhuleni
N1,N1_000051,,-26.352898,27.453264,-26.354177,27.453662,148.7,national,4,80,1,Gauteng,City of Tshwane
N1,N1_000052,,-26.509034,28.197085,-26.51243,28.193363,559.2,national,2,100,1,Gauteng,Ekurhuleni
N1,N1_000053,,-26.069089,27.88288,-26.073176,27.875426,943.6,national,3,120,0,Gauteng,Ekurhuleni
N1,N1_000054,,-25.860163,27.88729,-25.853488,27.883367,859.3,national,2,120,1,Gauteng,City of Tshwane
N1,N1_000055,,-26.025678,28.210753,-26.025455,28.216628,652.6,national,4,80,0,Gauteng,City of Tshwane
N1,N1_000056,,-25.929912,28.159529,-25.933208,28.165897,796.0,national,2,100,0,Gauteng,City of Johannesburg
N1,N1_000057,,-26.40844,27.455456,-26.398761,27.457681,1102.4,national,2,120,1,Gauteng,Ekurhuleni
N1,N1_000058,,-25.851628,28.262015,-25.853948,28.260008,340.5,national,2,60,0,Gauteng,City of Tshwane
N1,N1_000059,,-26.315507,28.364932,-26.311589,28.364223,442.0,national,4,80,0,Gauteng,City of Tshwane
N1,N1_000060,,-26.426659,27.957572,-26.426036,27.958751,147.9,national,3,120,1,Gauteng,Ekurhuleni
N1,N1_000061,,-26.020312,27.590989,-26.013082,27.58999,810.1,national,2,100,1,Gauteng,Ekurhuleni
N1,N1_000062,,-26.28898,27.927847,-26.284709,27.922537,756.4,national,3,100,0,Gauteng,City of Johannesburg
N1,N1_000063,,-26.40392,27.859642,-26.410864,27.853921,998.7,national,3,120,1,Gauteng,Ekurhuleni
N1,N1_000064,,-25.994298,27.474719,-25.98764,27.472509,778.7,national,4,60,1,Gauteng,City of Tshwane
N1,N1_000065,,-26.592335,27.822111,-26.587265,27.82918,965.6,national,3,80,1,Gauteng,City of Johannesburg
N1,N1_000066,,-26.245184,27.98277,-26.247407,27.986147,448.8,national,3,80,1,Gauteng,City of Johannesburg
N1,N1_000067,,-25.325061,28.040948,-25.316922,28.042786,926.1,national,4,60,0,Gauteng,Ekurhuleni
N1,N1_000068,,-26.042803,28.440222,-26.049168,28.435425,884.7,national,3,80,1,Gauteng,City of Tshwane
N1,N1_000069,,-26.161249,28.455568,-26.165684,28.464592,1116.1,national,3,100,0,Gauteng,City of Tshwane
N1,N1_000070,,-26.574802,28.047303,-26.564804,28.044302,1158.7,national,4,60,0,Gauteng,City of Johannesburg
N1,N1_000071,,-25.365505,27.639233,-25.375097,27.632281,1315.0,national,2,120,0,Gauteng,Ekurhuleni
N1,N1_000072,,-25.367916,27.958041,-25.372791,27.955419,614.4,national,4,60,0,Gauteng,City of Tshwane
N1,N1_000073,,-26.459472,27.430814,-26.463233,27.434361,573.8,national,3,120,0,Gauteng,City of Johannesburg
N1,N1_000074,,-25.830273,28.396686,-25.835416,28.40063,719.4,national,3,60,0,Gauteng,City of Tshwane
N1,N1_000075,,-25.907431,28.193826,-25.916052,28.196777,1011.4,national,2,120,1,Gauteng,City of Johannesburg
N1,N1_000076,,-26.03642,27.834626,-26.028588,27.833821,873.9,national,2,120,0,Gauteng,Ekurhuleni
N1,N1_000077,,-25.921729,28.180549,-25.919411,28.188941,966.4,national,3,120,1,Gauteng,Ekurhuleni
N1,N1_000078,,-25.829783,27.786765,-25.834873,27.795457,1118.1,national,3,120,0,Gauteng,City of Tshwane
N1,N1_000079,,-25.859195,28.201826,-25.862467,28.201712,363.4,national,3,80,1,Gauteng,City of Johannesburg
N1,N1_000080,,-26.138728,27.710023,-26.143135,27.711946,533.7,national,3,60,0,Gauteng,City of Johannesburg
N1,N1_000081,,-26.286237,27.887714,-26.285133,27.88252,589.4,national,3,120,1,Gauteng,City of Johannesburg
N1,N1_000082,,-26.479031,27.665916,-26.475195,27.66204,605.3,national,4,100,1,Gauteng,Ekurhuleni
N1,N1_000083,,-25.909801,27.910605,-25.904882,27.907221,662.7,national,4,120,1,Gauteng,City of Tshwane
N1,N1_000084,,-26.273175,27.544787,-26.279323,27.537178,1085.9,national,4,80,0,Gauteng,City of Johannesburg
N1,N1_000085,,-25.639814,27.7318,-25.638022,27.737004,610.9,national,4,100,0,Gauteng,City of Johannesburg
N1,N1_000086,,-26.21488,27.833057,-26.218835,27.837217,637.1,national,2,100,0,Gauteng,City of Johannesburg
N1,N1_000087,,-25.880633,28.236901,-25.888107,28.24427,1165.1,national,3,60,0,Gauteng,Ekurhuleni
N1,N1_000088,,-26.230359,27.974457,-26.233545,27.983767,1092.2,national,3,120,0,Gauteng,City of Johannesburg
N1,N1_000089,,-26.07908,27.488899,-26.076491,27.479971,1031.8,national,2,100,0,Gauteng,City of Johannesburg
N1,N1_000090,,-26.446013,28.317332,-26.443887,28.323147,687.2,national,2,120,1,Gauteng,City of Tshwane
N1,N1_000091,,-26.213441,28.10623,-26.214864,28.107603,219.5,national,2,60,0,Gauteng,Ekurhuleni
N1,N1_000092,,-26.325667,28.192514,-26.332526,28.18599,1050.7,national,2,80,0,Gauteng,City of Tshwane
N1,N1_000093,,-26.014345,28.112573,-26.01852,28.107203,755.1,national,4,100,1,Gauteng,City of Johannesburg
N1,N1_000094,,-25.7064,28.508693,-25.700643,28.511194,696.7,national,4,80,1,Gauteng,City of Johannesburg
N1,N1_000095,,-25.892069,28.177162,-25.883901,28.183695,1161.0,national,2,60,0,Gauteng,City of Tshwane
N1,N1_000096,,-25.826443,28.389088,-25.818019,28.387871,944.8,national,3,100,1,Gauteng,City of Tshwane
N1,N1_000097,,-25.949386,27.992554,-25.957777,27.983351,1382.4,national,3,100,1,Gauteng,City of Johannesburg
N1,N1_000098,,-26.481275,28.554293,-26.474556,28.555797,764.3,national,2,100,0,Gauteng,City of Johannesburg
N1,N1_000099,,-25.988349,28.181811,-25.980028,28.175441,1163.3,national,4,120,1,Gauteng,City of Johannesburg
N1,N1_000100,,-25.988986,27.890018,-25.992565,27.88211,963.5,national,2,100,1,Gauteng,Ekurhuleni
N1,N1_000101,,-25.95589,28.1951,-25.957881,28.20031,619.1,national,2,120,0,Gauteng,City of Tshwane
N1,N1_000102,,-26.271881,27.539106,-26.26643,27.546404,1011.1,national,2,120,1,Gauteng,City of Johannesburg
N1,N1_000103,,-26.356143,27.834135,-26.351014,27.836643,633.7,national,2,80,1,Gauteng,Ekurhuleni
N1,N1_000104,,-26.429683,27.745635,-26.422066,27.745329,846.2,national,2,80,0,Gauteng,City of Tshwane
N1,N1_000105,,-25.883909,28.062702,-25.892045,28.072547,1417.7,national,2,120,0,Gauteng,Ekurhuleni
N1,N1_000106,,-25.518214,27.998051,-25.513882,27.998228,481.3,national,3,120,1,Gauteng,City of Tshwane
N1,N1_000107,,-26.28315,28.061518,-26.285478,28.069955,971.6,national,4,80,0,Gauteng,City of Tshwane
N1,N1_000108,,-25.595522,28.425295,-25.598724,28.431049,731.0,national,3,60,1,Gauteng,Ekurhuleni
N1,N1_000109,,-26.211877,28.104325,-26.201899,28.104118,1107.8,national,2,120,1,Gauteng,City of Tshwane
N1,N1_000110,,-26.167828,28.315447,-26.170284,28.324104,998.8,national,2,80,1,Gauteng,City of Johannesburg
N1,N1_000111,,-25.487183,27.89293,-25.490819,27.89239,408.1,national,3,120,0,Gauteng,City of Tshwane
N1,N1_000112,,-25.345728,27.551496,-25.336421,27.548136,1098.3,national,2,120,0,Gauteng,Ekurhuleni
N1,N1_000113,,-25.416426,27.418417,-25.423543,27.425836,1141.1,national,2,60,1,Gauteng,City of Tshwane
N1,N1_000114,,-26.15987,28.231246,-26.156873,28.238281,848.8,national,4,120,1,Gauteng,Ekurhuleni
N1,N1_000115,,-25.665667,28.311282,-25.658219,28.302,1321.0,national,2,80,1,Gauteng,City of Johannesburg
N1,N1_000116,,-25.629204,27.920766,-25.637235,27.923441,939.6,national,2,120,0,Gauteng,Ekurhuleni
N1,N1_000117,,-26.210694,27.434737,-26.214207,27.425859,1059.7,national,3,100,1,Gauteng,City of Johannesburg
N1,N1_000118,,-26.282543,27.894462,-26.278907,27.888063,816.9,national,2,60,1,Gauteng,Ekurhuleni
N1,N1_000119,,-25.711925,27.997201,-25.710262,27.991845,622.5,national,4,100,1,Gauteng,City of Tshwane
N1,N1_000120,,-25.733107,28.47869,-25.733802,28.474443,477.7,national,4,80,0,Gauteng,City of Tshwane
N3,N3_000121,,-25.371194,28.585182,-25.375211,28.594423,1118.4,national,4,100,1,Gauteng,City of Tshwane
